R0_c29_r26,R1_c13,R1_c17,R1_c21,R2_c17_r14,R3_c13,R3_c17,R3_c21,R4_c13,R4_c17,R4_c21,R5_r6,R5_r10,R6,R7_c13,R7_c17,R8,R9_c21,R9_c25,R9_c29,R10,R11_c25,R11_c29,R12,R13_c17,R13_c21,R14_c13,R14_c17,R14_c21
4.094416724100065949e+03,0.000000000000000000e+00,2.251800695992311375e+03,2.251800695992311375e+03,3.627251421019068403e+02,0.000000000000000000e+00,2.571866599237666833e+03,2.571866599237666833e+03,4.040427332746801312e+02,4.040427332746801312e+02,4.040427332746801312e+02,6.590152146699232105e+01,6.590152146699232105e+01,0.000000000000000000e+00,2.788152066804088008e+03,2.788152066804088008e+03,9.763440869784014353e+01,2.046898193268224531e+03,2.046898193268224531e+03,2.046898193268224531e+03,8.029999999999999716e+01,8.998638872485564207e+03,8.998638872485564207e+03,0.000000000000000000e+00,1.847982628287090392e+03,1.847982628287090392e+03,0.000000000000000000e+00,3.319777248520818375e+03,3.319777248520818375e+03
4.573308349896347863e+03,2.378999999999999915e+01,2.568180696595731661e+03,2.568180696595731661e+03,4.542247056439095445e+02,4.245600000000000307e+01,2.895635762302642433e+03,2.895635762302642433e+03,0.000000000000000000e+00,5.831120822501782186e+02,5.831120822501782186e+02,1.018567989982306869e+02,1.018567989982306869e+02,2.371000000000000085e+01,3.220650432359782826e+03,3.220650432359782826e+03,2.004420306908817224e+02,0.000000000000000000e+00,2.189724326792692409e+03,2.189724326792692409e+03,2.322167265040470170e+02,9.625090647394272310e+03,9.625090647394272310e+03,4.101899999999999835e+01,2.073082638353789662e+03,2.073082638353789662e+03,6.832800000000000296e+01,3.713954294938168005e+03,3.713954294938168005e+03
1.783012272107685476e+03,8.136200724820012908e+01,2.902554182919080631e+03,2.902554182919080631e+03,5.609773168733948978e+02,1.287025250955309446e+02,3.233591012673261503e+03,3.233591012673261503e+03,0.000000000000000000e+00,7.576341505395516833e+02,7.576341505395516833e+02,1.566101180057823115e+02,1.566101180057823115e+02,8.131354331438484451e+01,3.673818374337278783e+03,3.673818374337278783e+03,3.339105282953931919e+02,0.000000000000000000e+00,2.331492967806671913e+03,2.331492967806671913e+03,4.321806392218912833e+02,1.026570321559065997e+04,1.026570321559065997e+04,1.282860435659671055e+02,2.308407454194687489e+03,2.308407454194687489e+03,1.951453118478420947e+02,4.122881714499458212e+03,4.122881714499458212e+03
1.872887661858510910e+03,1.670350255757347497e+02,3.254642499956465144e+03,3.254642499956465144e+03,6.840570322868977655e+02,2.462255306988687948e+02,3.585345783025537003e+03,3.585345783025537003e+03,0.000000000000000000e+00,9.280378504884856738e+02,9.280378504884856738e+02,2.315966437052197193e+02,2.315966437052197193e+02,1.672064956252363288e+02,0.000000000000000000e+00,4.146796742330581765e+03,4.960762961442701453e+02,0.000000000000000000e+00,2.472259525143549126e+03,2.472259525143549126e+03,6.715393283717978647e+02,0.000000000000000000e+00,1.092018655513404337e+04,2.499479231727073341e+02,0.000000000000000000e+00,2.553738829428294594e+03,3.605456735429910395e+02,4.546072553386012260e+03,4.546072553386012260e+03
4.513200000000000500e+01,2.782587735794943455e+02,0.000000000000000000e+00,3.624188922260159870e+03,5.269158897673401043e+02,3.901530988780330063e+02,0.000000000000000000e+00,3.950548053592554425e+03,0.000000000000000000e+00,1.094685945541148612e+03,1.094685945541148612e+03,3.279992287975842373e+02,3.279992287975842373e+02,2.788651339662732767e+02,8.556900000000000261e+01,4.638826982346818113e+03,6.855134911271740066e+02,0.000000000000000000e+00,2.612074226255839221e+03,2.612074226255839221e+03,9.452302067012700491e+02,8.351200000000000045e+01,1.158826807735828334e+04,4.012118524052077078e+02,2.276399999999999935e+01,2.808876019913346681e+03,5.573365638712028840e+02,0.000000000000000000e+00,4.983085923923084920e+03
4.555200000000000671e+01,4.133969134535584544e+02,2.378999999999999915e+01,4.010955706982580523e+03,6.121764165710141015e+02,5.575593223188318461e+02,4.245600000000000307e+01,4.328875372989928110e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.257888727021970681e+03,0.000000000000000000e+00,4.468332450139232606e+02,4.146677131846996645e+02,2.442164084795463168e+02,5.149232854602044426e+03,9.011137385384113259e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.750982797163674604e+03,1.249807886656714345e+03,2.385109367029181158e+02,1.226969094138503715e+04,5.791495532269478872e+02,7.223780642561270326e+01,3.073633465593926303e+03,7.813386276974099474e+02,6.832800000000000296e+01,5.433520145258761659e+03
4.816020155437239225e+01,5.712612426059783957e+02,8.136200724820012908e+01,4.414721688576709312e+03,3.760999999999999943e+01,7.464162319561801269e+02,1.287025250955309446e+02,4.720030838750790281e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.417914227994894645e+03,0.000000000000000000e+00,5.889935334431570482e+02,5.734353700746163440e+02,4.510253114053532499e+02,5.677406496842013439e+03,1.141976915654481672e+03,0.000000000000000000e+00,0.000000000000000000e+00,2.889027029564544591e+03,1.582726021331141510e+03,4.406669343303223627e+02,1.296421258865367599e+04,7.817067739671113031e+02,1.419490816919346798e+02,3.347838887645642899e+03,1.029721313355246366e+03,1.951453118478420947e+02,5.897007236220999403e+03
5.474911626320317026e+01,7.509281154486761807e+02,1.670350255757347497e+02,4.835280291682873212e+03,3.796000000000000085e+01,9.552035737688092922e+02,2.462255306988687948e+02,5.123739810887230306e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.574995994176009162e+03,5.146957165740946039e+01,7.552834271484467763e+02,7.542509556794720993e+02,6.970007148692706096e+02,0.000000000000000000e+00,1.407349294783674850e+03,0.000000000000000000e+00,0.000000000000000000e+00,3.026245257448819302e+03,1.942000803900687970e+03,6.811891336203590299e+02,0.000000000000000000e+00,1.007329016945911462e+03,2.292347863813166100e+02,0.000000000000000000e+00,1.300400540815458498e+03,3.605456735429910395e+02,6.373208435498120707e+03
6.696534441405562177e+01,9.516474297120680603e+02,2.782587735794943455e+02,0.000000000000000000e+00,4.013350129531033161e+01,1.182723030889608253e+03,3.901530988780330063e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.729339093668125770e+03,3.597210855437554073e+02,9.464340774586308953e+02,9.563691332618429897e+02,9.769179134592859555e+02,8.556900000000000261e+01,1.696585254415736927e+03,5.011901361490758688e+01,0.000000000000000000e+00,3.162672760477089469e+03,2.326028703838637739e+03,9.549694338523898978e+02,8.351200000000000045e+01,1.254781471436086576e+03,3.324547972906472069e+02,2.276399999999999935e+01,1.591757662464153327e+03,5.573365638712028840e+02,0.000000000000000000e+00
8.637153908716763340e+01,1.172791078986395860e+03,4.133969134535584544e+02,2.378999999999999915e+01,4.562426355266930500e+01,1.427996324852543239e+03,5.575593223188318461e+02,4.245600000000000307e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.547362176700103191e+02,6.547362176700103191e+02,1.179165422997561109e+03,1.287239323642724912e+03,2.442164084795463168e+02,2.009122010753369523e+03,2.172211707051320957e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.733477763299037179e+03,1.258548271878634296e+03,2.385109367029181158e+02,1.523049423397684222e+03,4.504520420644640808e+02,7.223780642561270326e+01,1.902487746027530193e+03,7.813386276974099474e+02,6.832800000000000296e+01
